,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No Service,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1554,1,0,0,0,-0.2591635311019461,1,0,1,1,1,1,1,1,0,-1.4530798643475829,-0.7765053074076161,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4817,0,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4862599308446014,-0.9961041842675282,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5957,1,1,1,0,-0.5852256060130667,1,0,0,0,0,0,0,1,0,0.459750969205537,-0.3780417354006707,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5123,0,1,0,0,-0.7074988841047369,1,0,0,1,0,0,0,0,1,0.35191575309022666,-0.49929697398784534,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3217,0,0,0,0,-1.2373497558353077,1,0,1,1,1,1,1,1,1,-1.468010894271241,-0.986168480669633,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5826,0,0,1,0,-1.2781075151991979,1,0,0,0,0,0,1,0,1,0.48629502240315176,-0.9699100566003498,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1372,1,0,0,0,-0.38143680919361633,1,0,0,1,0,0,1,1,0,1.0155170830305977,-0.03866365574307171,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
763,0,0,1,1,1.615693399636997,1,1,1,0,1,1,0,0,0,0.07154419119041974,1.091891637464891,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
6576,0,0,0,0,-1.2373497558353077,1,0,1,1,1,1,1,1,0,-1.472987904245794,-0.9867192402925762,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2859,1,1,1,0,1.534177880909217,1,1,1,1,1,1,1,1,1,0.7915516341757226,1.7738201722082416,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
88,0,0,1,1,0.5559916561758553,1,0,1,1,1,1,1,1,1,-1.4846009275197505,-0.5963848803202725,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1055,0,0,0,0,0.1484140625369546,1,0,1,1,1,1,1,1,0,-1.497872954118558,-0.7313650487111916,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5102,0,0,1,0,1.615693399636997,1,1,1,0,1,1,1,1,1,1.5082410705113236,2.4676451148071656,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2906,0,0,1,1,-1.0743187183797476,1,0,0,0,0,1,0,0,1,-0.5273560090807652,-0.8738575783590559,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2732,0,0,0,1,-1.1558342371075276,1,0,1,1,1,1,1,1,0,-1.4696698975960922,-0.9632348499702781,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3352,0,0,0,0,-1.2781075151991979,1,1,0,0,0,0,0,1,1,0.6886934280349652,-0.967222349640387,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2628,0,0,0,0,-1.2781075151991979,1,0,1,1,0,1,0,0,1,0.6206742917160772,-0.9681255954220137,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6341,0,0,0,0,-0.789014402832517,1,1,1,0,0,0,1,1,1,1.1830764188405414,-0.40615250655569163,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6813,0,0,1,0,1.2896313247258766,0,0,1,0,1,1,0,1,0,-0.5588770722529326,0.3819404531061902,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1407,1,0,0,1,-0.9928031996519674,0,0,1,0,0,1,0,1,1,-0.6683712916930941,-0.8535455634649106,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
198,1,0,1,1,1.615693399636997,1,1,0,1,1,1,1,1,1,1.5779192101550625,2.5383406200081544,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1954,1,0,0,0,-1.2781075151991979,1,1,0,0,0,0,0,0,1,0.35689276306477963,-0.9716284266239326,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3270,0,0,0,0,-1.1558342371075276,1,1,0,0,0,1,1,1,1,1.1996664520890508,-0.8289596538967263,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2272,1,0,0,1,-1.2781075151991979,1,0,0,0,1,0,0,0,1,-0.4925169392588955,-0.9829079837018092,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
73,1,0,1,1,1.2081158059980965,1,1,1,1,1,1,1,1,1,-1.3419266415825706,-0.3771825503888794,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2699,0,1,0,0,0.06689854380917447,1,1,0,1,0,1,1,0,1,1.0503561528524672,0.4007764322108476,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5817,1,0,0,1,-1.2781075151991979,1,0,0,0,0,0,0,0,1,-0.6733483016676468,-0.9853092956578415,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3431,1,0,1,0,-0.34067904982972624,1,1,0,0,1,0,1,1,1,1.2063024653884546,0.04897321545965009,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5922,1,0,1,1,1.615693399636997,1,1,1,0,1,0,1,1,0,1.3456587446759325,2.3480421550888204,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
4236,0,0,0,0,-1.2781075151991979,1,0,1,1,1,1,1,1,0,-1.4846009275197505,-0.9960821538826106,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7023,0,1,1,0,1.2488735653619865,1,1,0,1,1,0,1,1,1,1.2875936283061502,1.8500012432537445,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2865,0,0,1,1,1.3711468434536567,1,1,1,1,1,0,1,1,0,1.478379010664007,2.115731746131379,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5571,1,0,1,0,1.1673580466342064,1,1,0,1,1,0,1,1,1,0.5012260523268102,1.1606264384082021,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6867,1,0,0,0,1.4119046028175468,1,0,1,1,1,1,1,1,0,-1.4846009275197505,-0.42690512914819134,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
5351,0,0,0,0,-0.8297721621964071,1,0,0,0,1,0,1,1,0,1.0221530963300016,-0.5135286026446976,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5163,1,0,1,1,-0.5444678466491766,0,0,1,1,0,0,0,0,1,-0.986899930064472,-0.736013459928832,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2981,1,0,0,0,1.4119046028175468,1,0,1,1,1,1,1,1,0,-1.4663518909463902,-0.3743846915043279,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
